ConstituentID,DisplayName,Nationality,Gender
1945,Jan Forsberg,Swedish,Male
3379,André Lanskoy,French,Male
2962,Kafemann,Nationality unknown,
9216,"Akzo Nobel Geosynthetics Company, Asheville, NC",American,
35434,Robert Shaye,,Male
4099,Daido Moriyama,Japanese,Male
6050,Laurence Vail,American,Male
3713,Antonio Maluf,Brazilian,Male
8510,Dominique Berretty/Black Star Publishing Co.,French,Female
1954,Steven D. Foster,American,Male
47272,Lesley Keene,,Female
28800,Rachel Selekman,American,Female
29621,Matthew Buckingham,American,Male
28358,Braco Dimitrijević,Bosnian,Male
3606,Reagan Louie,American,Male
34931,Zbigniew Rybczynski,Polish,Male
4393,Rafal Olbinski,Polish,Male
40579,Peter Piller,German,Male
2911,Floris Jespers,Belgian,Male
24468,Edmund Kesting,German,Male
3117,Eve Kirk,British,Female
988,Mario Carreño,Chilean,Male
42594,Nick Clark,American,Male
6030,Unknown Artist,American,
43752,Hito Steyerl,German,Female
5176,Michel Sauer,German,Male
1823,Federico,American,
1595,Heitor dos Prazeres,Brazilian,Male
5949,Donna Tryon,American,Female
1502,André Des Gachons,French,Male
26464,Eija-Liisa Attilah,,
7439,Marco Ferreri,Italian,Male
28667,Shelby Hughes,American,Female
28322,Laerdal Medical Corporation,American,
75063,LaGardo Tackett,American,Male
28399,Andrew Ive,British,Male
38214,BIG-Bjarke Ingels Group,,
2891,Richards Jarden,American,Male
47257,Gary Anderson,American,Male
508,José Ygnacio Bermudez,Cuban,Male
26543,Peter Callas,Australian,Male
6741,Fredrick J. Whiteman,American,Male
46702,Amazing Musical Instrument Company,Canadian,
2399,Maurice Guibert,French,Male
11181,"Lorraine Metal Mfg. Co., NY",American,
4434,George Ortman,American,Male
8571,Jay King,American,Male
17332,Bernhard Leitner,,Male
47218,Grey Organisation,British,
3110,Darius Kinsey,American,Male
22591,Hajime Sorayama,Japanese,Male
5556,Elizabeth Sparhawk-Jones,American,Female
10655,"Form GmbH, Germany",German,
4710,Helen Margaret Post,American,Female
67417,John Driscoll,American,Male
27980,"EMBT Miralles Tagliabue Arquitectes Associats, Barcelona",,
41486,William Hanna,American,Male
6482,Harumi Yamaguchi,Japanese,Female
10303,"St. Regis Paper Co., Panelyte Div., New York, NY",American,
28567,Cosima von Bonin,German,Female
5934,Rudi Tröger,German,Male
70055,Banana Equipment,American,
27042,"James Spring & Wire Company; later James Industries; now Alex Brands, USA",,
66584,Ignazio Gardella,Italian,Male
31055,Andrea van der Straeten,,Female
7473,Grenville Davey,British,Male
10296,"MAP (Merchants of Australian Products Pty., Ltd.)",,
1971,Josef Frank,Swedish,Male
36991,Kathy Acker,American,Female
5579,St. Armand,American,
4750,H. B. Puchingen,Austrian,
2885,Angela Jansen,American,Female
4036,Lisette Model,American,Female
7971,Ernest Cole,South African,Male
2409,Michel Guino,French,Male
3747,Adriana Maraz-Bernik,Yugoslav,Female
1605,Rackstraw Downes,American,Male
28701,Ati Maier,German,Female
13811,Anton Lavinskii,Russian,Male
10131,"Ciciban Shoe & Children's Ware Factory, Yugoslavia",,
28733,Rei Naito,Japanese,Female
10211,"Style, Milan",,
26523,Evelene Wechsler,American,Female
10619,"Red Wing Pottery, MN",,
32377,Rea Tajiri,American,Female
26812,Archizoom Associati,Italian,
42566,Michael Manfredi,American,Male
5783,Rikio Takahashi,Japanese,Male
72893,Lou Reed,,
32208,Jem Cohen,American,Male
1490,Charles Demuth,American,Male
37368,Dankmar Adler,American,Male
8634,Mario Cravo Neto,Brazilian,Male
42455,Zanele Muholi,South African,Female
8685,A. L. Pugh,American,
46319,Martin Sharp,Australian,Male
2224,Mirta Gómez,American,Female
6269,Robert Watts,American,Male
7282,Bashir Zivari,American,Male
69628,Philippe Garrel,French,Male
42007,John Follis,American,Male
47291,Sy-Lab,,
511,Émile Bernard,French,Male
9237,"Matsushita Electrical Industrial Company, Osaka",,
48359,S. Brett Walker,American,Male
44,Robert Abel,American,Male
1929,Danny Ho Fong,American,Male
7279,Denis Santachiara,Italian,Male
984,Paolo Carosone,Italian,Male
42280,Anya Phillips,American,Female
37144,Kuniharu Akiyama,Japanese,Male
29423,Evermore Company,Chinese,
41479,Jean Badovici,French,
32211,Sofia Coppola,American,Female
22829,Alex Wall,American,Male
45592,Sofía von Ellrichshausen,Argentine,Female
27735,AutoSock AS,Norwegian,
67012,Ka Markelius,,Female
198,Garo Antreasian,American,Male
38273,Mikhail Cheremnykh,Russian,Male
1208,Miguel Conde,Mexican,Male
44473,Chelsea Peil,,
4164,Edvard Munch,Norwegian,Male
3744,Kumberai Mapanda,Zimbabwean,Male
23262,Ronan Bouroullec,French,Male
28199,Diane Victor,South African,Female
249,Frances Avery,American,Female
67529,Gauri Gill,Indian,Female
7317,Donato D'Urbino,Italian,Male
34937,Tony Cokes,American,Male
4180,Catherine Murphy,American,Female
67520,Craig Kalpakjian,American,Male
8386,Pierre Fix-Masseau,French,Male
30933,Maria Hahnenkamp,Austrian,Female
7283,Masuteru Aoba,Japanese,Male
25414,Julie Mehretu,American,Female
8706,Gianni Passini,Italian,Male
28382,Mia Ferrara,American,
3350,Thomas Lamb,American,Male
2446,Otto Hagel,American,Male
30844,Arthur Segal,Romanian,Male
41882,Randal Kleiser,American,Male
2635,Higa Yoshiharu,Japanese,Male
47747,Meat Puppets,,
5755,Henry F. Swift,American,Male
45070,Lisa Baumgardner,American,Female
33245,Nicolas Roope,British,Male
45259,Sara Seagull,,
40782,"Dresdener Werkstätten für Handwerkskunst, Dresden, Germany",,
32245,Hermine Freed,American,Female
232,Conrad Atkinson,British,Male
8221,Roberto Magris,Italian,Male
7702,John Milisenda,American,Male
45124,John Hilliard,British,Male
7149,Frank Heacox,American,Male
74777,Igor Pischukevich,Russian,Male
37627,Freddie Yauner,British,Male
11070,"Mylec, Inc., Winchedon Springs, MA",,
1126,Nicolai Cikovsky,American,Male
4502,Olivia Parker,American,Female
3994,David Brown Milne,Canadian,Male
32324,Wallace McCutcheon,,Male
71057,Suzan Etkin,American,
5184,Angelo Savelli,Italian,Male
9845,"Canon, Inc., Japan",Japanese,
5774,Augustus Vincent Tack,American,Male
48529,Perry Bard,,
1044,Bruno Ceccobelli,Italian,Male
36363,Matt Connors,American,Male
41430,Panel,,
6616,Lois Conner,American,Female
694,Dorr Bothwell,American,Female
35509,Hakudo Kobayashi,Japanese,Male
47792,Ken Starkey,,
8189,Guy Bourdin,French,Male
27958,Prestige Products,American,
74418,Leslie Lowe,American,Female
6525,Mario Yrisarry,American,Male
3101,David Kindersley,British,Male
5990,Alexei Alexandrovich Tyapushkin,Russian,Male
8523,Peter Carroll/Associated Press,Nationality unknown,Male
29508,Dickon Isaacs,British,Male
27819,Robert Demachy,French,Male
23779,Iurii Cherkesov,,Male
3742,Giacomo Manzù,Italian,Male
46485,Ronald Clyne,American,Male
